slug,name,brand,asin,amazonUrl,affiliateUrl,category,tier
"fanttik-x8-apex-portable-tire","Fanttik X8 APEX Portable Tire Inflator (150 PSI Cordless)","Fanttik",B09YD2D96V,"https://www.amazon.com/dp/B09YD2D96V","https://www.amazon.com/dp/B09YD2D96V?tag=blackboxsuppl-20","Tire Inflators",hero
"jackery-explorer-1000-v2-portable","Jackery Explorer 1000 v2 Portable Power Station","Jackery",B0D7PPG25F,"https://www.amazon.com/dp/B0D7PPG25F","https://www.amazon.com/dp/B0D7PPG25F?tag=blackboxsuppl-20","Power & Charging",hero
"noco-boost-gb40-1000a-ultrasafe","NOCO Boost GB40 1000A UltraSafe Lithium Jump Starter","NOCO",B015TKUPIC,"https://www.amazon.com/dp/B015TKUPIC","https://www.amazon.com/dp/B015TKUPIC?tag=blackboxsuppl-20","Jump Starters",hero
"lifeline-4388aaa-excursion-road-76","Lifeline 4388AAA Excursion Road 76-Piece Roadside Assistance Kit","Lifeline (AAA)",B00N509LP2,"https://www.amazon.com/dp/B00N509LP2","https://www.amazon.com/dp/B00N509LP2?tag=blackboxsuppl-20","Roadside Safety",hero
"viofo-a229-plus","VIOFO A229 Plus (2CH Front + Rear)","VIOFO",B0CKX14L34,"https://www.amazon.com/dp/B0CKX14L34","https://www.amazon.com/dp/B0CKX14L34?tag=blackboxsuppl-20","Dash Cams",hero
"resqme-the-original-car-escape","resqme The Original Car Escape Tool — Seatbelt Cutter + Window Breaker","resqme",B01G6C18EC,"https://www.amazon.com/dp/B01G6C18EC","https://www.amazon.com/dp/B01G6C18EC?tag=blackboxsuppl-20","Roadside Safety",top
"noco-genius5-smart-battery-charger","NOCO GENIUS5 Smart Battery Charger & Maintainer (5A, 6V/12V)","NOCO",B07W8KJH44,"https://www.amazon.com/dp/B07W8KJH44","https://www.amazon.com/dp/B07W8KJH44?tag=blackboxsuppl-20","Car Utility",top
"bluetti-ac180-portable-power-station","BLUETTI AC180 Portable Power Station","Bluetti",B0C1SMJTDT,"https://www.amazon.com/dp/B0C1SMJTDT","https://www.amazon.com/dp/B0C1SMJTDT?tag=blackboxsuppl-20","Power & Charging",top
"energizer-1-gauge-800a-heavy","Energizer 1-Gauge 800A Heavy Duty Jumper Cables, 25 ft","Energizer",B017O8JZP6,"https://www.amazon.com/dp/B017O8JZP6","https://www.amazon.com/dp/B017O8JZP6?tag=blackboxsuppl-20","Roadside Safety",top
"viofo-a119-mini-2","VIOFO A119 Mini 2","VIOFO",B0C5MVB7NX,"https://www.amazon.com/dp/B0C5MVB7NX","https://www.amazon.com/dp/B0C5MVB7NX?tag=blackboxsuppl-20","Dash Cams",top
"baseus-160w-usb-c-car","Baseus 160W USB-C Car Charger (3-Port, QC5.0/PD3.0/PPS)","Baseus",B09HTTSJLV,"https://www.amazon.com/dp/B09HTTSJLV","https://www.amazon.com/dp/B09HTTSJLV?tag=blackboxsuppl-20","Car Utility",top
"noco-boost-hd-gb70-2000a","NOCO Boost HD GB70 2000A UltraSafe Lithium Jump Starter","NOCO",B016UG6PWE,"https://www.amazon.com/dp/B016UG6PWE","https://www.amazon.com/dp/B016UG6PWE?tag=blackboxsuppl-20","Jump Starters",top
"ecoflow-river-2-pro-portable","EcoFlow RIVER 2 Pro Portable Power Station","EcoFlow",B0BVLPGS79,"https://www.amazon.com/dp/B0BVLPGS79","https://www.amazon.com/dp/B0BVLPGS79?tag=blackboxsuppl-20","Power & Charging",top
"drive-car-trunk-organizer","DRIVE Car Trunk Organizer (Collapsible, Multi-Compartment)","Drive Auto Products",B071F82CYJ,"https://www.amazon.com/dp/B071F82CYJ","https://www.amazon.com/dp/B071F82CYJ?tag=blackboxsuppl-20","Car Utility",top
"viofo-a139-pro","VIOFO A139 Pro (3CH Front + Interior + Rear)","VIOFO",B0BV2FRBCS,"https://www.amazon.com/dp/B0BV2FRBCS","https://www.amazon.com/dp/B0BV2FRBCS?tag=blackboxsuppl-20","Dash Cams",top
"astroai-cordless-tire-inflator-160","AstroAI Cordless Tire Inflator 160 PSI (20V Battery + 12V Adapter)","AstroAI",B0948WY5YX,"https://www.amazon.com/dp/B0948WY5YX","https://www.amazon.com/dp/B0948WY5YX?tag=blackboxsuppl-20","Tire Inflators",top
"hulkman-alpha85-2000a-smart-jump","Hulkman Alpha85 2000A Smart Jump Starter with LCD Display","Hulkman",B08M41FX48,"https://www.amazon.com/dp/B08M41FX48","https://www.amazon.com/dp/B08M41FX48?tag=blackboxsuppl-20","Jump Starters",top
"wagan-fred-flashing-roadside-emergency","Wagan FRED Flashing Roadside Emergency LED Flare (3-Pack)","Wagan",B00C8YXH9C,"https://www.amazon.com/dp/B00C8YXH9C","https://www.amazon.com/dp/B00C8YXH9C?tag=blackboxsuppl-20","Roadside Safety",top
"rove-r2-4k","ROVE R2-4K","ROVE",B074JT3698,"https://www.amazon.com/dp/B074JT3698","https://www.amazon.com/dp/B074JT3698?tag=blackboxsuppl-20","Dash Cams",top
"first-alert-auto5-car-fire","First Alert AUTO5 Car Fire Extinguisher (UL Rated 5-B:C)","First Alert",B000P0DPGQ,"https://www.amazon.com/dp/B000P0DPGQ","https://www.amazon.com/dp/B000P0DPGQ?tag=blackboxsuppl-20","Roadside Safety",top
"chemical-guys-car-wash-kit","Chemical Guys Car Wash Kit 14-Pc Arsenal Builder","Chemical Guys",B07FTRZLM5,"https://www.amazon.com/dp/B07FTRZLM5","https://www.amazon.com/dp/B07FTRZLM5?tag=blackboxsuppl-20","Car Utility",top
"nextbase-iq-4k-smart-dash","Nextbase iQ 4K Smart Dash Cam (Front + Rear)","Nextbase",B0CJWHSWSS,"https://www.amazon.com/dp/B0CJWHSWSS","https://www.amazon.com/dp/B0CJWHSWSS?tag=blackboxsuppl-20","Dash Cams",top
